ServerName,DatabaseName,LogicalName,PhysicalFullName,FileType,SizeMB,IsMemoryOptimizedDataOptionEnabled,TimeDataCollected
DBPSQLANA01,DBAdmin,DBAdmin,E:\MSSQL\Data\DBAdmin.mdf,Rows,904,False,2022-10-26 09:45:29
DBPSQLANA01,DBAdmin,DBAdmin_log,G:\MSSQL\Log\DBAdmin_log.ldf,Log,72,False,2022-10-26 09:45:29
DBPSQLANA01,RnD,RnD,E:\MSSQL\DATA\RnD.mdf,Rows,1442176,False,2022-10-26 09:45:29
DBPSQLANA01,RnD,RnD_log,G:\MSSQL\Log\RnD_log.ldf,Log,175850.75,False,2022-10-26 09:45:29
DBPSQLANA01,RnD,Rnd_Data,E:\MSSQL\Data\Rnd_Data.ndf,Rows,478931,False,2022-10-26 09:45:29
DBPSQLANA01,RnD,Rnd_Data2,G:\MSSQL\data\Rnd_Data2.ndf,Rows,2231124,False,2022-10-26 09:45:29
DBPSQLANA01,RnD,Rnd_Log3,E:\MSSQL\Data\Rnd_Log3.ndf,Rows,9657.1875,False,2022-10-26 09:45:29
