ServerName,DatabaseName,DatabaseFileName,FileType,TimeDataCollected,CounterName,AggregatorType,Value
DBPSQLANA01,DBAdmin,G:\MSSQL\Log\DBAdmin_log.ldf,LOG,2022-10-25 09:13:46,FRM,Mean,0
DBPSQLANA01,DBAdmin,G:\MSSQL\Log\DBAdmin_log.ldf,LOG,2022-10-25 09:13:46,FRM,Occurence,18
DBPSQLANA01,DBAdmin,G:\MSSQL\Log\DBAdmin_log.ldf,LOG,2022-10-25 09:13:46,FRM,Variance,0
DBPSQLANA01,DBAdmin,G:\MSSQL\Log\DBAdmin_log.ldf,LOG,2022-10-25 09:13:46,FRM,Max,0
DBPSQLANA01,DBAdmin,G:\MSSQL\Log\DBAdmin_log.ldf,LOG,2022-10-25 09:13:46,FWM,Mean,0
DBPSQLANA01,DBAdmin,G:\MSSQL\Log\DBAdmin_log.ldf,LOG,2022-10-25 09:13:46,FWM,Occurence,18
DBPSQLANA01,DBAdmin,G:\MSSQL\Log\DBAdmin_log.ldf,LOG,2022-10-25 09:13:46,FWM,Variance,0
DBPSQLANA01,DBAdmin,G:\MSSQL\Log\DBAdmin_log.ldf,LOG,2022-10-25 09:13:46,FWM,Max,0
DBPSQLANA01,DBAdmin,G:\MSSQL\Log\DBAdmin_log.ldf,LOG,2022-10-25 09:13:46,FNW,Mean,0
DBPSQLANA01,DBAdmin,G:\MSSQL\Log\DBAdmin_log.ldf,LOG,2022-10-25 09:13:46,FNW,Occurence,18
DBPSQLANA01,DBAdmin,G:\MSSQL\Log\DBAdmin_log.ldf,LOG,2022-10-25 09:13:46,FNW,Variance,0
DBPSQLANA01,DBAdmin,G:\MSSQL\Log\DBAdmin_log.ldf,LOG,2022-10-25 09:13:46,FNW,Max,0
DBPSQLANA01,DBAdmin,G:\MSSQL\Log\DBAdmin_log.ldf,LOG,2022-10-25 09:13:46,FNR,Mean,0
DBPSQLANA01,DBAdmin,G:\MSSQL\Log\DBAdmin_log.ldf,LOG,2022-10-25 09:13:46,FNR,Occurence,18
DBPSQLANA01,DBAdmin,G:\MSSQL\Log\DBAdmin_log.ldf,LOG,2022-10-25 09:13:46,FNR,Variance,0
DBPSQLANA01,DBAdmin,G:\MSSQL\Log\DBAdmin_log.ldf,LOG,2022-10-25 09:13:46,FNR,Max,0
DBPSQLANA01,DBAdmin,G:\MSSQL\Log\DBAdmin_log.ldf,LOG,2022-10-25 09:13:46,FRL,Mean,0
DBPSQLANA01,DBAdmin,G:\MSSQL\Log\DBAdmin_log.ldf,LOG,2022-10-25 09:13:46,FRL,Occurence,18
DBPSQLANA01,DBAdmin,G:\MSSQL\Log\DBAdmin_log.ldf,LOG,2022-10-25 09:13:46,FRL,Variance,0
DBPSQLANA01,DBAdmin,G:\MSSQL\Log\DBAdmin_log.ldf,LOG,2022-10-25 09:13:46,FRL,Max,0
DBPSQLANA01,DBAdmin,G:\MSSQL\Log\DBAdmin_log.ldf,LOG,2022-10-25 09:13:46,FWL,Mean,0
DBPSQLANA01,DBAdmin,G:\MSSQL\Log\DBAdmin_log.ldf,LOG,2022-10-25 09:13:46,FWL,Occurence,18
DBPSQLANA01,DBAdmin,G:\MSSQL\Log\DBAdmin_log.ldf,LOG,2022-10-25 09:13:46,FWL,Variance,0
DBPSQLANA01,DBAdmin,G:\MSSQL\Log\DBAdmin_log.ldf,LOG,2022-10-25 09:13:46,FWL,Max,0
DBPSQLANA01,RnD,E:\MSSQL\DATA\RnD.mdf,ROWS,2022-10-25 09:13:46,FRM,Mean,144
DBPSQLANA01,RnD,E:\MSSQL\DATA\RnD.mdf,ROWS,2022-10-25 09:13:46,FRM,Occurence,18
DBPSQLANA01,RnD,E:\MSSQL\DATA\RnD.mdf,ROWS,2022-10-25 09:13:46,FRM,Variance,10268.444
DBPSQLANA01,RnD,E:\MSSQL\DATA\RnD.mdf,ROWS,2022-10-25 09:13:46,FRM,Max,352
DBPSQLANA01,RnD,E:\MSSQL\DATA\RnD.mdf,ROWS,2022-10-25 09:13:46,FWM,Mean,8.666667
DBPSQLANA01,RnD,E:\MSSQL\DATA\RnD.mdf,ROWS,2022-10-25 09:13:46,FWM,Occurence,18
DBPSQLANA01,RnD,E:\MSSQL\DATA\RnD.mdf,ROWS,2022-10-25 09:13:46,FWM,Variance,354.33334
DBPSQLANA01,RnD,E:\MSSQL\DATA\RnD.mdf,ROWS,2022-10-25 09:13:46,FWM,Max,54
DBPSQLANA01,RnD,E:\MSSQL\DATA\RnD.mdf,ROWS,2022-10-25 09:13:46,FNW,Mean,182.22223
DBPSQLANA01,RnD,E:\MSSQL\DATA\RnD.mdf,ROWS,2022-10-25 09:13:46,FNW,Occurence,18
DBPSQLANA01,RnD,E:\MSSQL\DATA\RnD.mdf,ROWS,2022-10-25 09:13:46,FNW,Variance,224373.73
DBPSQLANA01,RnD,E:\MSSQL\DATA\RnD.mdf,ROWS,2022-10-25 09:13:46,FNW,Max,2000
DBPSQLANA01,RnD,E:\MSSQL\DATA\RnD.mdf,ROWS,2022-10-25 09:13:46,FNR,Mean,2730.6667
DBPSQLANA01,RnD,E:\MSSQL\DATA\RnD.mdf,ROWS,2022-10-25 09:13:46,FNR,Occurence,18
DBPSQLANA01,RnD,E:\MSSQL\DATA\RnD.mdf,ROWS,2022-10-25 09:13:46,FNR,Variance,8796387
DBPSQLANA01,RnD,E:\MSSQL\DATA\RnD.mdf,ROWS,2022-10-25 09:13:46,FNR,Max,9216
DBPSQLANA01,RnD,E:\MSSQL\DATA\RnD.mdf,ROWS,2022-10-25 09:13:46,FRL,Mean,2.272663
DBPSQLANA01,RnD,E:\MSSQL\DATA\RnD.mdf,ROWS,2022-10-25 09:13:46,FRL,Occurence,18
DBPSQLANA01,RnD,E:\MSSQL\DATA\RnD.mdf,ROWS,2022-10-25 09:13:46,FRL,Variance,5.527776
DBPSQLANA01,RnD,E:\MSSQL\DATA\RnD.mdf,ROWS,2022-10-25 09:13:46,FRL,Max,8
DBPSQLANA01,RnD,E:\MSSQL\DATA\RnD.mdf,ROWS,2022-10-25 09:13:46,FWL,Mean,0.41974777
DBPSQLANA01,RnD,E:\MSSQL\DATA\RnD.mdf,ROWS,2022-10-25 09:13:46,FWL,Occurence,18
DBPSQLANA01,RnD,E:\MSSQL\DATA\RnD.mdf,ROWS,2022-10-25 09:13:46,FWL,Variance,1.4207606
DBPSQLANA01,RnD,E:\MSSQL\DATA\RnD.mdf,ROWS,2022-10-25 09:13:46,FWL,Max,4.096
DBPSQLANA01,RnD,G:\MSSQL\Log\RnD_log.ldf,LOG,2022-10-25 09:13:46,FRM,Mean,0
DBPSQLANA01,RnD,G:\MSSQL\Log\RnD_log.ldf,LOG,2022-10-25 09:13:46,FRM,Occurence,18
DBPSQLANA01,RnD,G:\MSSQL\Log\RnD_log.ldf,LOG,2022-10-25 09:13:46,FRM,Variance,0
DBPSQLANA01,RnD,G:\MSSQL\Log\RnD_log.ldf,LOG,2022-10-25 09:13:46,FRM,Max,0
DBPSQLANA01,RnD,G:\MSSQL\Log\RnD_log.ldf,LOG,2022-10-25 09:13:46,FWM,Mean,100.666664
DBPSQLANA01,RnD,G:\MSSQL\Log\RnD_log.ldf,LOG,2022-10-25 09:13:46,FWM,Occurence,18
DBPSQLANA01,RnD,G:\MSSQL\Log\RnD_log.ldf,LOG,2022-10-25 09:13:46,FWM,Variance,29472.445
DBPSQLANA01,RnD,G:\MSSQL\Log\RnD_log.ldf,LOG,2022-10-25 09:13:46,FWM,Max,496
DBPSQLANA01,RnD,G:\MSSQL\Log\RnD_log.ldf,LOG,2022-10-25 09:13:46,FNW,Mean,1834.6666
